BUFFER_MarshRegion_3_TEXT,"Sector 13 Tower Failure. Requires remote service. Predator deterrents recommended. Reconnect upon fulfillment.
 Partner Specialist 81926.",,
BUFFER_PostOfficeA_1_FILENAME,Chris_journal(1).doc,,
BUFFER_PostOfficeA_1_TEXT,"Mail today! First piece in three days, all the way from the east coast even. Gives me something to do, finally.",,
BUFFER_PostOfficeA_2_FILENAME,Chris_journal(2).doc,,
BUFFER_PostOfficeA_2_TEXT,Higgins wasn’t at his spot this morning. Odd. Can’t remember the last time that happened.,,
BUFFER_PostOfficeA_3_FILENAME,Chris_journal(3).doc,,
BUFFER_PostOfficeA_3_TEXT,"After three years here, it’s starting to feel like home. Still, we get fewer and fewer pieces of mail. For all the letter writing folks in Milton get up to, it’s a shame they receive so few responses.",,
BUFFER_PostOfficeA_4_FILENAME,Chris_journal(4).doc,,
BUFFER_PostOfficeA_4_TEXT,"A small package came in this morning and it’s been in shipping limbo for a while, by the look of it. No surprise these days, but a minor miracle it got all the way here from Toronto. If freight has opened back up again, that’s a great sign.",,
BUFFER_QuonsetGasStation_1_FILENAME,BARBARA  .doc,Word processor: filename,
BUFFER_QuonsetGasStation_1_TEXT,"Zero customers today, a new record! Just as well. The morning was better spent out on the dock with my binoculars. More and more ships passing, heading south. What will they find on The Mainland, I wonder. A warmer welcome? Not likely.","Word processor Journal, by Barbara Quincy, Garage Owner, female, 62",
BUFFER_QuonsetGasStation_2_FILENAME,BARBARA  (2).doc,Word processor: filename,
BUFFER_QuonsetGasStation_2_TEXT,"Tanker truck finally made it down here from up-Island. Wasn’t our regular driver, rather some guy they drafted into the job at the refinery it sounds like. He couldn’t say when the next trip down would be. It doesn’t seem too bad, seeing as we don’t get too many passing through these days. Bothers me more that the refinery is having trouble filling their orders. I can’t imagine propane and heating oil are in good shape if they can’t even ship out their gasoline on time. Even with more and more electric cars making their way out here, finally, we still need that delivery.","Word processor Journal, by Barbara Quincy, Garage Owner, female, 62",
BUFFER_QuonsetGasStation_3_FILENAME,BARBARA  (5).doc,Word processor: filename,
BUFFER_QuonsetGasStation_3_TEXT,"Apparently a small tree tipped over in the storm last night. It was leaning up against the side of the Garage when I pulled up this morning. And what did I see walking around up there? A wolf. I almost choked on my coffee. I left her be, and when I went out later she was gone. Bill Farney stopped to fill his truck with some of his crew and they were able to chop it up. I paid them in timber. Even now, the Island still has a few tricks I haven’t seen before. Folks at my old plant on The Mainland would have lost it if they saw this.","Word processor Journal, by Barbara Quincy, Garage Owner, female, 62",
BUFFER_QuonsetGasStation_USERNAME,"Quincy, Barbara","""username"" field for QuonsetGasStation text editor memories",
BUFFER_RadioControlHut_1_FILENAME,easton_journal_1.docx,Word processor: filename,
BUFFER_RadioControlHut_1_TEXT,"First day on the job! Besides the usual reports, the weather service asked me to keep a personal log of some kind. It sounds like the fellow who was here before me had a touch of cabin fever towards the end, and they thought it would be good for me to write a bit. And with the interference the weather service guys have been seeing this year getting the emergency weather warnings out, there might be some downtime anyway. But the good news is that when we are on the air, they are going to let me broadcast a little bit of music as well. Should be fun.","Word processor logbook, by Sarah Easton, Female, 29",
BUFFER_RadioControlHut_2_FILENAME,easton_journal_15.docx,Word processor: filename,
BUFFER_RadioControlHut_2_TEXT,"Found myself whistling Richard Strauss tone poems the whole way up the hill this morning. Maybe Don Quixote a little later today? Then again, that’s more a piece for the Mainlanders these days. No windmills out here, only wind. We’ll go with Zarathustra instead. It’s been nice to get airtime between weather reports to broadcast some music, something to perk up the sleepy days out here in the Valley.","Word processor logbook, by Sarah Easton, Female, 29",
BUFFER_RadioControlHut_3_FILENAME,easton_journal_19.docx,Word processor: filename,
BUFFER_RadioControlHut_3_TEXT,"After a long shift, these notes start to feel more and more like a confessional. Tough for whoever the weather service ends up replacing me with up here. They’ll have to read through these things! Then again, I’m starting to mumble and sing to myself while I work, Glenn Gould-style. It’s probably better to write some of it down...haha.","Word processor logbook, by Sarah Easton, Female, 29",
BUFFER_RadioControlHut_4_FILENAME,easton_journal_30.docx,Word processor: filename,
BUFFER_RadioControlHut_4_TEXT,"My folks were pretty down and out this morning before I left. I promised my dad I’d see about switching up the playlist a little today. Maybe some Beatles would cheer him up? It’d be nice if the store at the Crossroads could get coffee delivered back up here to the Valley, finally. I miss that little mocha machine we had at the Conservatory. The practice rooms were tiny, even smaller than this Hut. A hot cup always made the hours drift by a bit quicker. Still, even spending all day in this weather station, I don’t miss the Mainland.","Word processor logbook, by Sarah Easton, Female, 29",
BUFFER_RadioControlHut_5_FILENAME,easton_journal_43.docx,Word processor: filename,
BUFFER_RadioControlHut_5_TEXT,"Great news! I got word yesterday there might be a piano again down in Milton. Only a dusty old upright, it sounds like, but still. The manager at the Credit Union pulled some strings and had one delivered from the Mainland, so the school could do sing-alongs and stage some plays. I had been down there a few times to play some Bach on the Church’s old organ, but it’s just not the same. I have to gas up my dad’s truck tomorrow, so I might drive down there and take a look. I hope it’s been tuned since it came off the ferry!","Word processor logbook, by Sarah Easton, Female, 29",
BUFFER_RadioControlHut_USERNAME,"Easton, Sarah","""username"" field for RadioControlHut text editor memories",
BUFFER_RadioControlHutB_1_FROM,PS 81926,,
BUFFER_RadioControlHutB_1_SUBJECT,COMSAT_UPLINK9 >>URGENT<<,,
BUFFER_RadioControlHutB_1_TEXT,"Request extraction. Wolves everywhere. Chased out of the Muskeg to the coast. All predator deterrents failed.
No food left. Going to check out the work site down below tower 12, for supplies -- use code 1540 to bypass security doors. Hurry.
...
        Sector 12 Tower Failure. Remote service for Automated Relay. Extreme Predator Threat.
        Partner Specialist 81926",,
BUFFER_RadioControlHutB_1_TO,RHEA COMSAT CANADA,,
BUFFER_RuralStoreA_1_FROM,From:  Dan Presnell,E-mail: from address,
BUFFER_RuralStoreA_1_SUBJECT,Re: Family update,E-mail: subject line,
BUFFER_RuralStoreA_1_TEXT,"Dear Marie,

It was great to hear from you, and yes, I am still out on Great Bear! It’s been a brutal early winter. We’ve had one road closure due to avalanches already, which in all my years here I can’t remember ever coming this early. Farmers didn’t even have time to get their hay in from the fields, the snow moved in so quick. At least I hope it’s the weather. There are other stories floating around that aren’t so easy to understand these days.Thankfully the late autumn deliveries were decent enough this year, and the store is as stocked as I could hope at the moment. But there are some desperate people here in the Valley. They don’t talk to me very often about how things are going for them, but I can see it on their faces.

Give my best to Greg and the little ones,

Danny","Emails from Dan Presnell, Shopkeeper, Male, 57",
BUFFER_RuralStoreA_1_TO,To:    Marie,E-mail: to address,
BUFFER_RuralStoreA_2_FROM,From:  Dan Presnell,E-mail: from address,
BUFFER_RuralStoreA_2_SUBJECT,Grocery order incomplete,E-mail: subject line,
BUFFER_RuralStoreA_2_TEXT,"Dear Mr. Galveston,

My last shipment from Better Food Vendors was incomplete. Although they are clearly listed on the invoice, I couldn’t for the life of me locate any Pinnacle Peaches or Big Moose Kicks Coffee in the pallet delivered to my shop. With winter coming soon, it’s very important that I get these missing items delivered as soon as possible. We’re a small community, but my stock runs out fast, and with shipping already so bad...Fruit, not to mention coffee, is rare out here on Great Bear Island. But they might as well be staples to us. This might be hard to imagine, but we Islanders have little by way of comforts and these items are cherished. I hope you understand the predicament this error puts me in.

If you could please look into this issue and let me know how we can clear it up, I would appreciate it very much.

Regards,

Dan Presnell","Emails from Dan Presnell, Shopkeeper, Male, 57",
BUFFER_RuralStoreA_2_TO,To:    Jim Galveston,E-mail: to address,
BUFFER_RuralStoreA_3_FROM,From:  Dan Presnell,E-mail: from address,
BUFFER_RuralStoreA_3_SUBJECT,ATM Removal -- Customer K35812,E-mail: subject line,
BUFFER_RuralStoreA_3_TEXT,"Dear Service Manager,

I am confirming disconnect of our single, J735 model ATM at our store here on Great Bear Island. It’s been more than a year, and an empty ATM is about as useful as you can imagine. It’s kind of a bad joke just letting it sit there empty these days, but I don’t really mind. More to the point, it’s your property, so please let me know if you have any other service trips planned to Great Bear this year. I could even truck it down to Milton if it would be easier to pick up there.  

Please update me on if this is possible or not, at your earliest convenience.

Regards,

Dan Presnell, Customer No. K35812","Emails from Dan Presnell, Shopkeeper, Male, 57",
BUFFER_RuralStoreA_3_TO,To:    SERVICE REQUEST,E-mail: to address,
BUFFER_RuralStoreA_4_FROM,From:  Dan Presnell,E-mail: from address,
BUFFER_RuralStoreA_4_SUBJECT,Long time no chat,E-mail: subject line,
BUFFER_RuralStoreA_4_TEXT,"Hey Doug!

Hope you’re good. I wanted to ask you about old Tom Joplin, do you remember him? He lives over on Skeeter’s Ridge. He’s started saying some funny stuff the last couple weeks whenever he visits the store. He doesn’t look well, but you know, we’ve never gotten along really well. Especially since Linda got sick. She knew him best, from Milton. 

Does he have any other family on the island that you remember? I’d rather not head over there and check on him myself. He might not even see me if I did. 

It’s not the same here since you and Denise moved away! I guess I could get down to The Mainland to visit more often. I think about leaving for good more and more. With no one left to talk me out of it, it’s looking more likely than ever. But there’s still the winter ahead, no matter what I decide.

Just let me know about Joplin if you can. And remember brother, don’t be a stranger!

Danny","Emails from Dan Presnell, Shopkeeper, Male, 57",
BUFFER_RuralStoreA_4_TO,To:    Doug,E-mail: to address,
BUFFER_RuralStoreA_5_FROM,From:  Dan Presnell,E-mail: from address,
BUFFER_RuralStoreA_5_SUBJECT,URGENT: Ongoing supply problems,E-mail: subject line,
BUFFER_RuralStoreA_5_TEXT,"Mr. Galveston,

Forget the Peaches and Coffee, your man didn’t even make it out here this month! When can I expect him? Do I have to remind you I pay in full and in advance for these shipments? I pay what I do because they are vital for our daily lives way out here. In the past the money was enough to remind you of this fact, but times have changed it looks like. 

I am available anytime, please email me. Phones are unreliable out here. 

Dan Presnell","Emails from Dan Presnell, Shopkeeper, Male, 57",
BUFFER_RuralStoreA_5_TO,To:    Jim Galveston,E-mail: to address,
BUFFER_TracksRegion_1_FILENAME,MED_TRANSMIT(1).txt,,
BUFFER_TracksRegion_1_TEXT,"Responded to the railroad worker near the ravine. Bad encounter with a Wolf, they said. His leg took the worst of it but I couldn’t do much.",,
BUFFER_TracksRegion_2_FILENAME,MED_TRANSMIT(2).txt,,
BUFFER_TracksRegion_2_TEXT,"Their Antiseptic was expired, and they had no other meds on-hand. Used most of my kit treating him, but even then I expect a poor outcome.",,
BUFFER_TracksRegion_3_FILENAME,MED_TRANSMIT(3).txt,,
BUFFER_TracksRegion_3_TEXT,"The hike up to overlook after the call came in over the radio was uneventful. It had started to snow, which didn’t leave me confident about an evac if we needed it.",,
BUFFER_TracksRegion_4_FILENAME,MED_TRANSMIT(4).txt,,
BUFFER_TracksRegion_4_TEXT,"Was clear they had tried to fashion a crude splint for the patient’s leg. It was ineffective, and he was suffering badly. The wolf bite had gone right to the bone, which was visible.",,
BUFFER_TracksRegion_5_FILENAME,MED_TRANSMIT(5).txt,,
BUFFER_TracksRegion_5_TEXT,"For future attacks, we'd benefit from some kind of follow-up protocol for these remote workers. They don’t trust us, but it could be a way to build something.",,
BUFFER_WhalingwarehouseA_1_FROM,From: Manny,,
BUFFER_WhalingwarehouseA_1_SUBJECT,OoO,,
BUFFER_WhalingwarehouseA_1_TEXT,"I just landed at Great Bear Island. DeepWild flew me out from the Mainland by float plane. Should be quite the trip. Remember, I’ll be out of reach for the next two weeks. If it’s all they promised, I’ll be a new man when I get back.",,
BUFFER_WhalingwarehouseA_1_TO,To: Greg,,
BUFFER_WhalingwarehouseA_2_FROM,From: DeepWild Adventure,,
BUFFER_WhalingwarehouseA_2_SUBJECT,NOTICE,,
BUFFER_WhalingwarehouseA_2_TEXT,"We are sorry to inform you that due to ongoing instability in our fuel supply chain, we will have to re-time your planned extraction from our DeepForest Experience on majestic Great Bear Island.
 Please be aware, it may take up to 7 business days before we can reschedule. 
 Thank you for your understanding and patience,
 DeepWild Adventure.",,
BUFFER_WhalingwarehouseA_2_TO,To: Manny Douglas,,
BUFFER_WhalingwarehouseA_3_FROM,From: Manny,,
BUFFER_WhalingwarehouseA_3_SUBJECT,URGENT,,
BUFFER_WhalingwarehouseA_3_TEXT,"I was told exit plans for this trip were guaranteed! “Gold Plated Exit,” you told me. What happened to that promise? When can I expect a response?",,
